"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
549,"MESCOLANZA","2221 CLEMENT ST ","San Francisco","CA","94121","37.782064","-122.483159",""
5490,"AT&T - (CART 14) BAYSIDE BREWS [145102]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5491,"AT&T - (CART 15) FRESH POPCORN [145103]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5492,"AT&T - (CART 16) BAYSIDE BREWS [145104]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5493,"AT&T - (CART 17) DELI [145105]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5494,"AT&T - (CART 18) NACHO-COMPADRES [145106]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5495,"AT&T - 2127 PORTABLES - PEANUTS","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5496,"AT&T - (CART 20) DOGGIE DINNER [145108]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5497,"AT&T - (CART 21) GOURMET SAUSAGES & BUDWEISER [145109]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5498,"AT&T - (CART 22) FRESH POPCORN & BAYSIDE BREWS","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5499,"AT&T -23 ORLANDO'S CARIBBEAN BBQ [145111]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5500,"AT&T - (CART 24) FRESH CATCH-SEAFOOD SANDWICH [145088]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5501,"AT&T - (CART 25) FRESH CATCH-CLAM CHOWDER SOUP [145112]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5502,"AT&T -26 SNOW CONES/COTTON CANDY [145113]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5503,"AT&T - PORTABLES 6 BEER CART","24 WILLIE MAYS PL ","San Francisco","CA","94107",,,"+14155971500"
5504,"AT&T - (CART 28) BAYSIDE BREWS/ANCHOR STEAM [145115]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5505,"AT&T - (CART 29) BAYSIDE BREWS - RED HOOK [145116]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5506,"AT&T - (CART 30) BAYSIDE BREWS&CABLE CAR BAR [145117]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5507,"AT&T - CABLE CAR BAR - CENTERFIELD","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5508,"AT&T - (CART 32) FRESH POPCORN [145119]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5509,"AT&T - (CART 33) PRETZELS GRILL [145120]","24  PL ","San Francisco","CA","94107",,,"+14155971500"
551,"GORDO TAQUERIA","2252 CLEMENT ST ","San Francisco","CA","94121","37.782107","-122.483631",""
5510,"AT&T - (CART 34) NACHOS","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5511,"AT&T - (CART 35) DOGGIE DINER [145122]","24 WILLIE MAYS PLAZA  ","San Francisco","CA","94107",,,"+14155971500"
5519,"AT&T - (J-3A) BEN & JERRY'S","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,
552,"LOI'S VIETNAMESE RESTAURANT","2228 IRVING ST ","San Francisco","CA","94122","37.763428","-122.481736",""
5520,"AT&T - (J-3B) TULLY'S COFFEE","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,
5521,"AT&T - (J-2A) BEN & JERRY'S","24  PL ","San Francisco","CA","94107",,,
5522,"AT&T - (J-2B) TULLY'S","24 WILLIE MAYS PL ","San Francisco","CA","94107",,,
5523,"AT&T - (J-4A) BEN & JERRY'S V","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,
5524,"AT&T - (CART J-4B) TULLY'S VIEW","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,
5528,"AT&T - JUMA CART 1 - ICE CREAM","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,"+14155250502"
5533,"LEAPING LEMUR CART","1  ZOO RD","San Francisco","CA","94132","37.721453","-122.48629","+14155757182"
5544,"AT&T - JUMA CART 1 - COFFEE","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,
5552,"WILDLIFE CONNECTION ESPRESSO CART","1 ZOO RD ","San Francisco","CA","94132","37.73017","-122.502535","+14155757080"
5561,"ON THE GO ESPRESSO","120 HOWARD ST ","San Francisco","CA","94105","37.791124","-122.392839","+14155772696"
5562,"NY FRANKFURTER / COFFEE CART"," CIVIC CTR- GARAG E LOBBY  ","San Francisco","CA","94102","37.779847","-122.418985",""
5564,"ARAMARK AT GRACE CATHEDRAL","1100 CALIFORNIA ST ","San Francisco","CA","94108","37.791538","-122.413334",""
5567,"AUNT FANNY'S CART II (COTTON CANDY)"," PIER 39  L-2","San Francisco","CA","94133","37.80824","-122.410189",""
557,"KATIA'S","600 05TH AVE ","San Francisco","CA","94118","37.77721","-122.462874","+14155669292"
558,"CAJUN PACIFIC","4542 IRVING ST ","San Francisco","CA","94122","37.762304","-122.506543",""
56,"CAFE X + O","1799 CHURCH ST ","San Francisco","CA","94131","37.742325","-122.426476","+14155823535"
560,"NORA'S MARKET","454 CAPITOL AVE ","San Francisco","CA","94112","37.714782","-122.459026","+14155335068"
5605,"CALIF PACIFIC MEDICAL CTR - CART","2333 BUCHANAN ST ","San Francisco","CA","94115","37.791426","-122.431039","+14155923221"
5606,"CALIFORNIA PACIFIC MEDICAL CENTER","45 CASTRO ST ","San Francisco","CA","94114","37.768922","-122.435736",""
5607,"SFSU STATION CAFE","1600 HOLLOWAY ST ","San Francisco","CA","94132","37.720851","-122.477084","+14155400450"
5610,"NY FRANKFURTER / HOT DOG CART"," CIVIC CENTER-POLKK/MCALLISTER  ","San Francisco","CA","94102","37.779847","-122.418985",""
5613,"CP - ROOM 438","CANDLESTICK PARK","San Francisco","CA","94124","37.712613","-122.387477","+14155332420"
5615,"COTTON CANDY AND LEMONDAE L43-45","CANDLESTICK PARK , L43-45","San Francisco","CA","94134",,,"+14158981105"
5616,"CP - DRYER'S ICE CREAM","CANDLESTICK PARK , L26","San Francisco","CA","94134",,,"+14158981105"
5617,"AT&T - BON APPETIT KITCHEN & CONCESSION STAND [145165]","24 WILLIE MAYS PLAZA 3.17.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5618,"AT&T - DOGGIE DINER ROOM 3228 [145164]","24 WILLIE MAYS PLAZA 3.24.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5619,"AT&T - PANTRY/WALK-IN BOX/SUITE [145163]","24 WILLIE MAYS PLAZA 4.21.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
562,"DESTINO RESTAURANT","1815 MARKET ST ","San Francisco","CA","94103","37.771437","-122.423892","+14155649016"
5620,"AT&T -ESPRESSO-DESSERT CARTS & ROOM 4.29.02-SUITE LEVEL [145144]","24 WILLIE MAYS PLAZA 4.29.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5621,"AT&T - PUB MURPH'S GUINESS CLUB HOUSE/ROOM5302 [145151]","24 WILLIE MAYS PLAZA 5.01.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5622,"AT&T - VENDING COMMISSARY [145152]","24 \ PL ","San Francisco","CA","94107","37.757923","-122.393914","+14155971500"
5623,"AT&T - DOGGIE DINNER ROOM 5310 [145153]","24 5624 PL ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5624,"AT&T - DERBY GRILL ROOM 5311 [145154]","24 WILLIE MAYS PLAZA 5.07.02  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5626,"AT&T - DOGGIE DINNER-ROOM 5318/V [145156]","24 54 PL ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5627,"AT&T - SAY HEY SAUSAGE-ROOM 5319 [145157]","24 WILLIE MAYS PLAZA 5.15.01  ","San Francisco","CA","94107","37.778382","-122.391151","+14155971500"
5628,"AT&T - DERBY GRILL- ROOM 5323/VIEW [145158]","24  PL ","San Francisco","CA","94107","37.757923","-122.393914",""
