"business_id","Score","date","type"
187,"92","20101108","routine"
190,"98","20121116","routine"
190,"100","20120430","routine"
190,"100","20111028","routine"
190,"100","20110428","routine"
192,"96","20130419","routine"
192,"92","20120626","routine"
192,"100","20111215","routine"
192,"94","20110608","routine"
192,"96","20110125","routine"
194,"90","20130107","routine"
194,"88","20110725","routine"
198,"100","20121127","routine"
198,"96","20120320","routine"
198,"98","20110913","routine"
198,"100","20110328","routine"
198,"100","20100917","routine"
199,"88","20121127","routine"
199,"90","20120320","routine"
199,"90","20110913","routine"
199,"90","20110328","routine"
199,"96","20100917","routine"
200,"88","20121024","routine"
200,"96","20120312","routine"
200,"90","20110923","routine"
200,"73","20110608","routine"
200,"85","20101020","routine"
201,"90","20130415","routine"
201,"91","20120827","routine"
201,"94","20111207","routine"
201,"81","20110810","routine"
201,"74","20110303","routine"
208,"81","20120823","routine"
208,"92","20111031","routine"
208,"94","20110225","routine"
216,"100","20130306","routine"
216,"100","20120605","routine"
216,"100","20120216","routine"
216,"98","20110624","routine"
216,"83","20100910","routine"
217,"100","20130207","routine"
217,"100","20120614","routine"
217,"100","20111222","routine"
217,"100","20110609","routine"
217,"94","20101216","routine"
219,"92","20130412","routine"
219,"100","20120905","routine"
219,"100","20120210","routine"
219,"100","20110830","routine"
219,"100","20110303","routine"
221,"91","20130131","routine"
221,"90","20120815","routine"
221,"100","20120209","routine"
221,"98","20110725","routine"
221,"90","20110131","routine"
221,"98","20100812","routine"
226,"86","20130326","routine"
226,"94","20120912","routine"
226,"88","20120130","routine"
226,"94","20110708","routine"
226,"70","20100901","routine"
229,"96","20120725","routine"
229,"96","20111028","routine"
229,"79","20101119","routine"
230,"64","20130124","routine"
230,"73","20120402","routine"
230,"79","20110726","routine"
231,"85","20121106","routine"
231,"81","20120522","routine"
231,"90","20111104","routine"
231,"94","20110314","routine"
231,"92","20100914","routine"
234,"86","20130506","routine"
234,"82","20120326","routine"
234,"87","20110720","routine"
234,"72","20110215","routine"
236,"94","20121012","routine"
236,"98","20120301","routine"
236,"94","20110823","routine"
236,"94","20110222","routine"
236,"85","20100601","routine"
239,"83","20120830","routine"
239,"86","20120320","routine"
